Investigation.Type,Accident.Number,Event.Date,LOCATION,Latitude,Longitude,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Weather.Condition
Accident,GAA18CA290,2018-05-19,"VASHON, WA",47.458611,-122.476945,Non-Fatal,Substantial,Piper,PA 14,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA287,2018-05-19,"BURNET, TX",30.738889,-98.238611,Non-Fatal,Substantial,Maule,M 7,1.0,Reciprocating,Personal,VMC
Accident,WPR18LA157,2018-05-18,"CRESCENT MILLS, CA",40.048611,-120.980834,Non-Fatal,Substantial,Cessna,182D,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA285,2018-05-18,"WICKENBURG, AZ",33.968611,-112.798889,Non-Fatal,Substantial,Cessna,182,1.0,Reciprocating,Personal,VMC
Accident,CEN18LA181,2018-05-18,"Hanover Park, IL",41.994444,-88.135277,Non-Fatal,Destroyed,Vans,RV7A,1.0,Reciprocating,Personal,IMC
Accident,GAA18CA300,2018-05-17,"KILLEEN, TX",31.084166,-97.687222,Non-Fatal,Substantial,Cessna,150,1.0,Reciprocating,Instructional,VMC
Accident,CEN18CA176,2018-05-17,"ALBUQUERQUE, NM",35.145277,-106.795277,Non-Fatal,Substantial,Piper,PA 18,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA296,2018-05-16,"PRESCOTT, WA",46.220834,-118.121945,Non-Fatal,Substantial,Cessna,182,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA286,2018-05-16,"EDEN PRAIRIE, MN",44.827223,-93.461111,Non-Fatal,Substantial,Boeing,A75N1(PT17),1.0,Reciprocating,Personal,VMC
Accident,CEN18LA180,2018-05-16,"BROOMFIELD, CO",39.908889,-105.117223,Non-Fatal,Substantial,Roger G White,Glasair,1.0,Reciprocating,Personal,VMC
Accident,CEN18CA185,2018-05-16,"HARLAN, IA",41.586944,-95.336666,Non-Fatal,Substantial,Cessna,120,1.0,Reciprocating,Personal,VMC
Accident,CEN18LA174,2018-05-15,"FORT WAYNE, IN",41.17,-85.18,Non-Fatal,Substantial,Cessna,177,1.0,Reciprocating,Personal,VMC
Accident,CEN18LA173,2018-05-15,"HAMILTON, OH",39.363889,-84.521945,Non-Fatal,Substantial,Grumman American Avn. Corp.,AA 1B,1.0,Reciprocating,Flight Test,VMC
Accident,GAA18CA281,2018-05-14,"CAPE CARTERET, NC",34.705278,-77.051111,Non-Fatal,Substantial,Piper,PA 32R,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA280,2018-05-14,"Nooksack, WA",48.883334,-122.283611,Non-Fatal,Destroyed,Cessna,172,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA282,2018-05-13,"LAGRANGE, GA",33.009167,-85.069723,Non-Fatal,Substantial,Diamond Aircraft Ind Inc,DA 20,1.0,Reciprocating,Instructional,VMC
Accident,WPR18FA141,2018-05-13,"Cascade, ID",44.24,-116.073334,Fatal(1),Destroyed,Cessna,182G,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA278,2018-05-12,"ZELIENOPLE, PA",40.801944,-80.160833,Non-Fatal,Substantial,Cessna,170,1.0,Reciprocating,Personal,VMC
Accident,ANC18FA036,2018-05-12,"WHITTIER, AK",60.763889,-148.715833,Fatal(1),Substantial,Piper,PA-28-180,1.0,Reciprocating,Personal,UNK
Accident,ERA18FA146,2018-05-12,"Jacksonville, AL",33.798055,-85.725278,Fatal(1),Destroyed,Beech,35A33,1.0,Reciprocating,Personal,VMC
Accident,WPR18LA142,2018-05-11,"ATMORE, AL",31.016111,-87.446666,Non-Fatal,Substantial,Kolb,FIRESTAR,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA292,2018-05-11,"MERRITT ISLAND, FL",28.3425,-80.688889,Non-Fatal,Substantial,Piper,PA28,1.0,Reciprocating,Instructional,VMC
Accident,GAA18CA279,2018-05-11,"MORRILTON, AR",35.136389,-92.715,Non-Fatal,Substantial,Champion,7ECA,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA275B,2018-05-11,"CHANDLER, AZ",33.269167,-111.811111,Non-Fatal,Substantial,Piper,PA 28,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA275A,2018-05-11,"CHANDLER, AZ",33.269167,-111.811111,Non-Fatal,Substantial,Aeropro Cz S R O,A240,1.0,Reciprocating,Instructional,VMC
Accident,CEN18LA171,2018-05-11,"ORRVILLE, OH",40.875556,-81.766389,Non-Fatal,Substantial,Cessna,172N,1.0,Reciprocating,Personal,VMC
Accident,CEN18LA172,2018-05-11,"Borger, TX",35.700833,-101.393611,Non-Fatal,Destroyed,Wittman D R/wittman D M,RV 6,1.0,Reciprocating,Personal,VMC
Accident,CEN18FA168,2018-05-11,"Lone Tree, CO",39.516111,-104.833889,Fatal(1),Destroyed,Cirrus Design Corp,SR22,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA274,2018-05-10,"WICKENBURG, AZ",33.968889,-112.798889,Non-Fatal,Substantial,Piper,PA28,1.0,Reciprocating,Instructional,VMC
Accident,GAA18CA272,2018-05-10,"MESA, AZ",33.460833,-111.728334,Non-Fatal,Substantial,Cub Crafters Inc,CC19,1.0,Reciprocating,Ferry,VMC
Accident,WPR18FA139,2018-05-10,"Julian, CA",33.134444,-116.578334,Fatal(3),Destroyed,Beech,76,2.0,Reciprocating,Instructional,VMC
Accident,GAA18CA271,2018-05-09,"GRASS VALLEY, CA",39.223056,-121.005278,Non-Fatal,Substantial,Cessna,P210,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA270,2018-05-09,"BUMPASS, VA",37.965278,-77.748889,Non-Fatal,Substantial,Jetson's Aviation Llc,AIRCAM,2.0,Reciprocating,Personal,VMC
Accident,GAA18CA276,2018-05-08,"BATAVIA, OH",39.080278,-84.208611,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA266,2018-05-08,"LAS CRUCES, NM",32.289444,-106.921945,Non-Fatal,Substantial,Diven Robert,NIEUPORT 17,1.0,Reciprocating,Personal,VMC
Accident,CEN18LA165,2018-05-08,"VALPARAISO, IN",41.453889,-87.006944,Non-Fatal,Substantial,Piper,PA 34-200,2.0,Reciprocating,Instructional,VMC
Accident,CEN18LA163,2018-05-08,"LULING, TX",29.723611,-97.659167,Non-Fatal,Substantial,Cessna,182F,1.0,Reciprocating,Skydiving,VMC
Accident,GAA18CA269,2018-05-07,"GOOSE BAY, AK",61.394722,-149.842222,Non-Fatal,Substantial,Piper,PA 18-150,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA264,2018-05-07,"ADDISON, TX",33.000278,-96.828056,Non-Fatal,Substantial,Piper,PA28,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA262,2018-05-07,"ALBUQUERQUE, NM",35.595833,-106.901944,Non-Fatal,Substantial,Cessna,182,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA261,2018-05-07,"NAPLES, FL",26.156944,-81.770834,Non-Fatal,Substantial,Zenair Ltd,CH 2000,1.0,Reciprocating,Instructional,VMC
Accident,ERA18LA145,2018-05-07,"VERO BEACH, FL",27.655556,-80.418056,Non-Fatal,Substantial,Piper,PA28,1.0,Reciprocating,Instructional,VMC
Accident,CEN18LA162,2018-05-07,"BROOMFIELD, CO",39.908889,-105.117223,Non-Fatal,Substantial,Cessna,182,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA304,2018-05-06,"GAINESVILLE, GA",34.273611,-83.831389,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Business,VMC
Accident,GAA18CA260,2018-05-06,"CLARKSVILLE, TN",36.621945,-87.415,Non-Fatal,Substantial,Cessna,182,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA257,2018-05-06,"WARRENTON, VA",38.586389,-77.710556,Non-Fatal,Substantial,Aeronca,7AC,1.0,Reciprocating,Instructional,VMC
Accident,GAA18CA284,2018-05-05,"BAYOU LA BATRE, AL",30.455278,-88.211111,Non-Fatal,Substantial,Yakovlev,YAK 52,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA277,2018-05-05,"WATERLOO, IN",41.431389,-84.981111,Non-Fatal,Substantial,Cessna Aircraft Co,162,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA268,2018-05-05,"FULTON, NY",43.350278,-76.387777,Non-Fatal,Substantial,Piper,PA 15,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA267,2018-05-05,"FULTON, NY",43.351944,-76.385555,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Instructional,VMC
Accident,GAA18CA259,2018-05-05,"LUSBY, MD",38.361111,-76.404167,Non-Fatal,Substantial,Creech Jerry,CREECH JERRY CH 701,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA256,2018-05-05,"CHANDLER, AZ",33.271667,-111.813333,Non-Fatal,Substantial,Cessna,A185,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA255,2018-05-05,"DEKALB, IL",41.928334,-88.7075,Non-Fatal,Substantial,Pphu Ekolot,KR-030 TOPAZ,1.0,Reciprocating,Personal,VMC
Accident,ERA18FA141,2018-05-05,"MIDDLETOWN, NY",41.426111,-74.403889,Fatal(1),Substantial,Aeronca,7AC,1.0,Reciprocating,Instructional,VMC
Accident,CEN18FA160,2018-05-05,"SAULT STE MARIE, MI",46.4775,-84.363056,Fatal(2),Substantial,Belair,RAVEN,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA265,2018-05-04,"TRUMAN, AR",35.570278,-90.636111,Non-Fatal,Substantial,Air Tractor Inc,AT 802,1.0,Turbo Prop,Aerial Application,VMC
Accident,GAA18CA254,2018-05-04,"SISTERS, OR",44.304444,-121.539166,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Business,VMC
Accident,GAA18CA253,2018-05-04,"GLENDALE, AZ",33.528056,-112.294444,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Instructional,VMC
Accident,CEN18LA159,2018-05-04,"SHULLSBURG, WI",42.573056,-90.232223,Non-Fatal,Substantial,Beech,A36,1.0,Reciprocating,Personal,VMC
Accident,WPR18LA135,2018-05-03,"TAMIAMI, FL",25.795,-80.569723,Non-Fatal,Substantial,Cessna,152,1.0,Reciprocating,Personal,IMC
Accident,GAA18CA258,2018-05-03,"PALMYRA, PA",40.287777,-76.58,Non-Fatal,Substantial,Berger Bernard M,PULSAR SERIES III,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA248,2018-05-02,"PORT ANGELES, WA",47.598055,-123.276111,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Positioning,VMC
Accident,CEN18LA156,2018-05-02,"WOODWARD, OK",36.443611,-99.515,Non-Fatal,Substantial,Laminar,Lancair 360,1.0,Reciprocating,Personal,VMC
Accident,ERA18FA138,2018-05-02,"West Milford, NJ",41.121389,-74.350833,Fatal(1),Destroyed,Piper,PA32,1.0,Reciprocating,Personal,VMC
Accident,WPR18FA131,2018-05-01,"RENO, NV",39.661389,-119.867778,Fatal(1),Substantial,American Air Racing Ltd,THUNDER MUSTANG,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA347,2018-05-01,"PINE SPRING, TX",31.758056,-104.776389,Non-Fatal,Substantial,Piper,PA28,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA252,2018-04-30,"LITTLE ROCK, AR",34.830278,-92.256111,Non-Fatal,Substantial,Beech,95B55,2.0,Reciprocating,Personal,VMC
Accident,WPR18LA128,2018-04-29,"MAXWELL, CA",39.264722,-122.119167,Non-Fatal,Substantial,Grumman Acft Eng Cor-schweizer,G 164C,1.0,Turbo Prop,Personal,VMC
Accident,GAA18CA294,2018-04-29,"PALO ALTO, CA",37.461111,-122.115,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA246,2018-04-29,"PAGE, AZ",36.93,-111.45,Non-Fatal,Substantial,Cessna,182,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA243,2018-04-29,"GAINESVILLE, FL",29.689166,-82.273334,Non-Fatal,Substantial,Cessna,310,2.0,Reciprocating,Personal,VMC
Accident,GAA18CA242,2018-04-29,"EAGLE LAKE, TX",29.600556,-96.321945,Non-Fatal,Substantial,Seno Louis C Sr,KIS,1.0,Reciprocating,Personal,VMC
Accident,WPR18LA136,2018-04-28,"BOULDER, UT",37.904444,-111.418334,Non-Fatal,Substantial,Cessna,182F,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA241,2018-04-28,"CARRINGTON, ND",47.453333,-99.154167,Non-Fatal,Substantial,Aeronca,65 LB,1.0,Reciprocating,Instructional,VMC
Accident,ERA18FA137,2018-04-28,"GAINESVILLE, GA",34.25,-83.972778,Fatal(1),Substantial,Piper,PA28R,1.0,Reciprocating,Instructional,VMC
Accident,GAA18CA244,2018-04-27,"EUNICE, LA",30.459722,-92.421945,Non-Fatal,Substantial,Luscombe,8,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA239,2018-04-27,"VACAVILLE, CA",38.378334,-121.961111,Non-Fatal,Substantial,Beech,76,2.0,Reciprocating,Instructional,VMC
Accident,GAA18CA238,2018-04-27,"SPOKANE, WA",47.683056,-117.324167,Non-Fatal,Substantial,Stinson,108,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA237,2018-04-27,"ELIZA ISLAND, WA",48.650278,-122.584444,Non-Fatal,Substantial,Stinson,108,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA236,2018-04-27,"HOOD RIVER, OR",45.672778,-121.533889,Non-Fatal,Substantial,L-bird Llc,CCX-2000,1.0,Reciprocating,Other Work Use,VMC
Accident,CEN18LA152,2018-04-27,"GARWOOD, TX",29.444722,-96.399166,Non-Fatal,Substantial,Grumman,G 164A,1.0,Reciprocating,Aerial Application,VMC
Accident,CEN18LA150,2018-04-27,"Kalkaska, MI",44.674445,-85.235833,Fatal(2),Destroyed,Wolfe,Kitfox V,1.0,Reciprocating,Personal,VMC
Accident,WPR18LA127,2018-04-26,"HILLSBORO, OR",45.515556,-123.014444,Non-Fatal,Substantial,Yakovlev,YAK 52,1.0,Reciprocating,Positioning,VMC
Accident,ERA18LA136,2018-04-26,"BARRE PLAINS, MA",42.356389,-72.13,Non-Fatal,Substantial,Cessna,402,2.0,Reciprocating,Personal,VMC
Accident,CEN18LA151,2018-04-25,"CULLMAN, AL",34.152778,-86.634722,Non-Fatal,Substantial,Cessna,152,1.0,Reciprocating,Personal,VMC
Accident,CEN18FA147,2018-04-25,"Kingsville, TX",27.503889,-97.812222,Fatal(2),Destroyed,North American,SNJ 5,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA240,2018-04-24,"KALISPELL, MT",47.846666,-113.416945,Non-Fatal,Substantial,Brown Joseph,SPORTSMAN GS-2,1.0,Reciprocating,Ferry,VMC
Accident,GAA18CA234,2018-04-24,"WICKENBURG, AZ",33.970278,-112.795,Non-Fatal,Substantial,Piper,PA28,1.0,Reciprocating,Instructional,VMC
Accident,CEN18LA148,2018-04-24,"ROXBURY, KS",38.551111,-97.427223,Non-Fatal,Substantial,Maule,M 5-235C,1.0,Reciprocating,Personal,VMC
Accident,WPR18LA125,2018-04-23,"ANDOVER, NJ",41.011944,-74.735555,Non-Fatal,Substantial,Bellanca,7GCBC,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA589,2018-04-23,"CAMARILLO, CA",34.213611,-119.094444,Non-Fatal,Substantial,Piper,PA28R,1.0,Reciprocating,Instructional,VMC
Accident,GAA18CA231,2018-04-22,"YORK, PA",39.916945,-76.873056,Non-Fatal,Substantial,Cessna Aircraft Co,162,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA223,2018-04-22,"RAYMOND, WA",46.6975,-123.823056,Non-Fatal,Substantial,Ken Olson,SCAMP,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA222,2018-04-22,"SARATOGA SPRINGS, NY",43.049444,-73.858611,Non-Fatal,Substantial,Piper,PA 25-235,1.0,Reciprocating,Glider Tow,VMC
Accident,GAA18CA411,2018-04-21,"MARIETTA, SC",35.023611,-82.542777,Non-Fatal,Substantial,Eipper,QUICKSILVER,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA227,2018-04-21,"TUCSON, AZ",32.139166,-111.173611,Non-Fatal,Substantial,Irvin Stephen D,RUTAN LONG E Z,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA225,2018-04-21,"PELION, SC",33.795833,-81.245833,Non-Fatal,Substantial,Republic,RC 3,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA221,2018-04-21,"IOLA, WI",44.505556,-89.025,Non-Fatal,Substantial,Cessna,120,1.0,Reciprocating,Personal,VMC
Accident,WPR18LA124,2018-04-20,"CLEWISTON, FL",26.733611,-81.048333,Non-Fatal,Substantial,Piper,PA 34-220T,2.0,Reciprocating,Personal,VMC
Accident,GAA18CA232,2018-04-20,"SAN JOSE, CA",37.336111,-121.819723,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Instructional,VMC
Accident,GAA18CA233,2018-04-19,"BULBERDE, TX",29.739166,-98.451111,Non-Fatal,Substantial,Mooney,M20F,1.0,Reciprocating,Ferry,VMC
Accident,GAA18CA220,2018-04-19,"SHELBY, MT",48.540833,-111.871111,Non-Fatal,Substantial,Piper,PA 22,1.0,Reciprocating,Personal,VMC
Accident,CEN18FA144,2018-04-19,"Williamsburg, PA",40.422778,-78.211667,Fatal(2),Destroyed,Cirrus Design Corp,SR22,1.0,Reciprocating,Personal,IMC
Accident,WPR18LA122,2018-04-18,"SALTON CITY, CA",33.244166,-115.924167,Non-Fatal,Substantial,Wilhelm,PUSLAR,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA245,2018-04-18,"WEIPEE, ID",46.205278,-115.5825,Non-Fatal,Substantial,Ayres Corporation,S2R,1.0,Reciprocating,Aerial Application,VMC
Accident,GAA18CA228,2018-04-17,"ASHLAND, VA",37.708056,-77.436389,Non-Fatal,Substantial,Costruzioni Aeronautiche Tecna,P92 EAGLET,1.0,Reciprocating,Instructional,VMC
Accident,GAA18CA219,2018-04-17,"ORLANDO, FL",28.544166,-81.336111,Non-Fatal,Substantial,Stone James R,DAYTONA CUBS REPLICA,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA251,2018-04-16,"SUFFOLK, VA",36.682778,-76.599722,Non-Fatal,Substantial,Beech,95 B55,2.0,Reciprocating,Personal,VMC
Accident,GAA18CA224,2018-04-16,"SAN ANTONIO, TX",29.570278,-98.468334,Non-Fatal,Substantial,Mooney,M20R,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA218,2018-04-15,"PENSACOLA, FL",30.398333,-87.348889,Non-Fatal,Substantial,Piper,PA 28-161,1.0,Reciprocating,Personal,VMC
Accident,CEN18LA142,2018-04-15,"COLORADO SPRINGS, CO",38.805833,104.700833,Non-Fatal,Substantial,Cessna,T210N,1.0,Reciprocating,Personal,VMC
Accident,CEN18FA140,2018-04-15,"FRIONA, TX",34.608333,-102.866111,Fatal(2),Substantial,Bordiuk,CHALLENGER II,1.0,Reciprocating,Instructional,VMC
Accident,ERA18FA127,2018-04-15,"Crozet, VA",38.097777,-78.7225,Fatal(1),Destroyed,Cessna,525,2.0,Turbo Jet,Personal,IMC
Accident,CEN18FA139,2018-04-15,"San Antonio, TX",29.413333,-98.815,Fatal(1),Destroyed,Wittman,W10,1.0,Reciprocating,Personal,VMC
Accident,WPR18LA120,2018-04-14,"KERNVILLE, CA",35.990833,-118.4975,Non-Fatal,Substantial,Zeismer,Zenith,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA226,2018-04-13,"EASTON, MD",38.801944,-76.068611,Non-Fatal,Substantial,Textron Aviation Inc,G58,2.0,Reciprocating,Personal,VMC
Accident,GAA18CA215,2018-04-13,"WAKEFIELD, VA",36.987222,-77.001111,Non-Fatal,Substantial,Page Russell L,LONG EZ,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA211,2018-04-12,"STERLING, AK",60.539722,-150.869723,Non-Fatal,Substantial,Cessna,A185,1.0,Reciprocating,Personal,VMC
Accident,CEN18LA138,2018-04-12,"NEW BRAUNFELS, TX",29.702222,-98.027223,Non-Fatal,Substantial,Piper,PA 24,1.0,Reciprocating,Instructional,VMC
Accident,GAA18CA207,2018-04-10,"SAN DIEGO, CA",32.5725,-116.980556,Non-Fatal,Substantial,Piper,PA34,2.0,Reciprocating,Instructional,VMC
Accident,GAA18CA206,2018-04-10,"EDGEWOOD, NM",35.094722,-106.164444,Non-Fatal,Substantial,Bice David E,BEARHAWK,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA209,2018-04-09,"SOUTH LAKE TAHOE, CA",38.893889,-119.995277,Non-Fatal,Substantial,Cessna Ector,305A,1.0,Reciprocating,Instructional,VMC
Accident,WPR18FA119,2018-04-09,"Scottsdale, AZ",33.635555,-111.897777,Fatal(6),Destroyed,Piper,PA 24-260,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA208,2018-04-08,"TUCSON, AZ",32.139166,-111.173334,Non-Fatal,Substantial,Piper Aircraft Inc,PA 28,1.0,Reciprocating,Instructional,VMC
Accident,ERA18LA124,2018-04-08,"LOWVILLE, NY",43.821389,-75.571389,Non-Fatal,Substantial,Cirrus,SR22,1.0,Reciprocating,Personal,IMC
Accident,GAA18CA214,2018-04-08,"Big Lake, AK",61.568889,-149.851111,Non-Fatal,Destroyed,Cessna,170,1.0,Reciprocating,Instructional,VMC
Accident,GAA18CA212,2018-04-06,"WELAKA, FL",29.414444,-81.652778,Non-Fatal,Substantial,Sasser Allen L,SEAREY,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA203,2018-04-06,"CALDWELL, ID",43.641944,-116.635833,Non-Fatal,Substantial,Carr B L,RV 4,1.0,Reciprocating,Personal,VMC
Accident,ANC18FA028,2018-04-06,"Petaluma, CA",38.268889,-122.576389,Fatal(1),Destroyed,Mooney,M20J,1.0,Reciprocating,Personal,IMC
Accident,GAA18CA205,2018-04-05,"VERNON, TX",34.225278,-99.283056,Non-Fatal,Substantial,Luscombe,8,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA201,2018-04-05,"LIVERMORE, CA",37.691944,-121.819445,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Instructional,VMC
Accident,WPR18LA118B,2018-04-04,"BOZEMAN, MT",45.778611,-111.156111,Non-Fatal,Substantial,Piper,PA 12,1.0,Reciprocating,Instructional,VMC
Accident,ERA18FA120,2018-04-04,"Daytona Beach, FL",29.158611,-81.085,Fatal(2),Destroyed,Piper,PA28R,1.0,Reciprocating,Instructional,VMC
Accident,CEN18FA266,2018-04-02,"ALMA, CO",39.46,-105.663333,Fatal(1),Substantial,Cessna,210,1.0,Reciprocating,Personal,VMC
Accident,CEN18FA132A,2018-04-02,"Marion, IN",40.490833,-85.679723,Fatal(2),Destroyed,Cessna,150,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA196,2018-04-01,"SELDOVIA, AK",59.442222,-151.703889,Non-Fatal,Substantial,Cub Crafters Inc,CC19,1.0,Reciprocating,Instructional,VMC
Accident,GAA18CA193,2018-04-01,"PHOENIX, AZ",33.688889,-112.081945,Non-Fatal,Substantial,Piper,PA28,1.0,Reciprocating,Instructional,VMC
Accident,GAA18CA192,2018-03-31,"PRESCOTT, AZ",34.65,-112.4275,Non-Fatal,Substantial,Cub Crafters,CC18-180,1.0,Reciprocating,Instructional,VMC
Accident,ERA18LA119,2018-03-31,"ATLANTIC OCEAN, AO",27.334166,-79.800833,Fatal(2),Substantial,Ames Angier M,LNC2,1.0,Reciprocating,Personal,VMC
Accident,CEN18LA131,2018-03-31,"GROVE, OK",36.608056,-94.728056,Non-Fatal,Substantial,Cessna,180,1.0,Reciprocating,Personal,VMC
Accident,WPR18FA116,2018-03-31,"Santa Paula, CA",34.345277,-119.0475,Fatal(2),Destroyed,Ragle,RV6A,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA202,2018-03-30,"NEPHI, UT",39.735277,-111.87,Non-Fatal,Substantial,Cessna,182,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA191,2018-03-30,"DORRIS, CA",41.890277,-121.975556,Non-Fatal,Substantial,Piper,PA18,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA190,2018-03-30,"SALINA, CA",36.663056,-121.607778,Non-Fatal,Substantial,Cessna,180,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA189,2018-03-30,"GILA BEND, AZ",32.958889,-112.679445,Non-Fatal,Substantial,Diamond Aircraft Ind Inc,DA 40,1.0,Reciprocating,Instructional,VMC
Accident,GAA18CA188,2018-03-30,"NAMPA, ID",43.583334,-116.523334,Non-Fatal,Substantial,Piper,J3C,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA199,2018-03-29,"NEW BEDFORD, MA",41.676945,-70.958611,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Instructional,VMC
Accident,GAA18CA186,2018-03-29,"SILVER BAY, MN",47.249166,-91.415556,Non-Fatal,Substantial,Terry G. Olson,Kitfox S7 Super Spor,1.0,Reciprocating,Personal,VMC
Accident,ERA18LA117,2018-03-28,"SEBRING, FL",27.4625,-81.344722,Non-Fatal,Substantial,Stanley,Lancair,1.0,Reciprocating,Personal,VMC
Accident,ERA18FA118,2018-03-28,"Ashville, AL",33.895555,-86.161389,Fatal(1),Destroyed,Cessna,R182,1.0,Reciprocating,Personal,VMC
Accident,WPR18LA113,2018-03-27,"STOCKTON, CA",37.847777,-121.516111,Fatal(1),Substantial,Schweizer Aircraft Corp,G 164B,1.0,Turbo Prop,Aerial Application,VMC
Accident,GAA18CA183,2018-03-27,"FULLERTON, CA",33.871945,-117.979723,Non-Fatal,Substantial,Globe,GC 1B,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA180,2018-03-26,"TUCSON, AZ",32.142222,-111.174445,Non-Fatal,Substantial,Anderson Darrell L,STARDUSTER TOO,1.0,Reciprocating,Personal,VMC
Accident,WPR18FA112,2018-03-26,"Marina, CA",36.675556,-121.756944,Fatal(1),Destroyed,Mooney,M20E,1.0,Reciprocating,Personal,VMC
Accident,ANC18LA030,2018-03-25,"ANCHORAGE, AK",61.215833,-149.841944,Non-Fatal,Substantial,Champion,7GC,1.0,Reciprocating,Personal,VMC
Accident,ERA18FA114,2018-03-25,"Hydro, OK",35.454444,-98.562778,Fatal(2),Destroyed,Beech,V35,1.0,Reciprocating,Personal,IMC
Accident,GAA18CA178,2018-03-23,"HARTSELLE, AL",34.407222,-86.933056,Non-Fatal,Substantial,Flightworks Corp,CAPELLA XS FW2C80TD,1.0,Reciprocating,Personal,VMC
Accident,GAA18CA175,2018-03-23,"BEAVER FALLS, PA",40.7725,-80.386944,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Instructional,VMC
Accident,ERA18LA115,2018-03-23,"CANTON, MS",32.6225,-90.103056,Non-Fatal,Substantial,Cessna,180K,1.0,Reciprocating,Personal,VMC
Accident,ERA18LA113,2018-03-23,"COLUMBIA, TN",35.613333,-86.985,Non-Fatal,Substantial,Fairchild Funk,M62C F 23A,1.0,Reciprocating,Positioning,VMC
Accident,CEN18LA128,2018-03-22,"KANSAS CITY, MO",39.123056,-94.592777,Non-Fatal,Substantial,Cessna,310R,2.0,Reciprocating,Personal,VMC
Accident,GAA18CA195,2018-03-21,"KNOX, IN",41.325556,-86.662222,Non-Fatal,Substantial,Piper,PA24,1.0,Reciprocating,Instructional,VMC
Accident,CEN18LA125,2018-03-21,"BEGGS, OK",35.793611,-96.029723,Non-Fatal,Substantial,Cub Crafters,PA18 150,1.0,Reciprocating,Personal,VMC
